Team
Minnesota Timberwolves
Memphis Grizzlies
Milwaukee Bucks
Phoenix Suns
Charlotte Hornets
Atlanta Hawks
Denver Nuggets
Utah Jazz
San Antonio Spurs
Brooklyn Nets
Indiana Pacers
Sacramento Kings
Chicago Bulls
Los Angeles Lakers
Miami Heat
Boston Celtics
Houston Rockets
Golden State Warriors
Philadelphia 76ers
Toronto Raptors
New Orleans Pelicans
Washington Wizards
Cleveland Cavaliers
Los Angeles Clippers
Dallas Mavericks
Portland Trail Blazers
New York Knicks
Orlando Magic
Detroit Pistons
Oklahoma City Thunder
League Average
